slug,title,hide,desc,img_path,url,platform,lang,date,visit
inline,Inline,0,Native macOS AI assistant for instant text context across all apps.,/assets/img/projects/inline.jpg,https://apps.apple.com/us/app/inline-the-inline-ai/id6748410177?mt=12,,Swift,2025/01/20,
swiftui-svg,SwiftUI SVG,0,Convert SVG path data to a SwiftUI Shape,/assets/img/projects/swiftui-svg.jpg,https://roger.zone/swiftuisvg,,JavaScript,2023/07/02,
clip-jar,Clip Jar,0,A lightweight app for organizing and sharing text clips.,/assets/img/projects/clip-jar.jpg,https://apps.apple.com/us/app/clip-jar/id1628120600?mt=8&ct=blog,,Swift,2022/07/026,
music-plus,Music Plus,0,Apple Music enhanced app brings better listening experience,/assets/img/projects/music-plus.jpg,https://itunes.apple.com/app/musicplus/id1626398921?mt=8&ct=blog,,Swift,2022/06/02,
theme-preview,Safari 15+ Theme Color Preiview,0,Preview Safari 15 theme-color appearance.,/assets/img/projects/theme-preview.jpg,/theme-color-preview,,JavaScript,2021/10/10,
jekyll-image-set,Jekyll Image Set,0,"Get all image URL of posts. Pure Liquid, and easy to use.",/assets/img/projects/imageset.jpg,https://github.com/rijieli/jekyll-image-set,weibo,Liquid,2019/1/1,1234
homepage,Homepage,1,"Roger Lee 's homepage, powered by Jekyll, hosted on GitHub Pages.",/assets/img/projects/lirijie.jpg,https://github.com/rijieli/rijieli.github.io,github,HTML,2019/1/2,2048
ios-url-scheme,iOS URL Scheme,0,Get URL Scheme from IPA file.,/assets/img/projects/iosurlschemes.jpg,https://github.com/rijieli/ios-url-scheme,github,Python,2019/1/4,3676
bookmark-duplicate-finder,Bookmark Duplicate Finder,0,Chrome plugin for locate duplicated bookmarks.,/assets/img/projects/duplicate-cleaner.jpg,https://github.com/rijieli/chrome-bookmark-cleaner,weixin,JavaScript,2019/1/3,2862
snow-simulation,Snow Simulation,0,"Snow simulation in browser, using HTML Canvas.",/assets/img/projects/snow-simulation.jpg,/snow/,,JavaScript,2021/12/24,
shopify-tool,Shopify Tool,0,Tools for Shopify operation.,/assets/img/projects/lizhiscript.jpg,https://github.com/rijieli/lizhiscript,github,Python,,
md-formatter,MD Formatter,0,Modify Markdown document to adjust different publishing platform.,/assets/img/projects/md-formater.jpg,https://github.com/rijieli/md-formater,weixin,Python,2019/1/7,2862
